q1,q2,q3,xe,ye,thetae
2.85,-2.98,1,4.75,6.46,49.85
1.06,-2.07,0,10.87,-5.75,-57.87
0.78,-1.28,1,17.26,4.92,28.65
0.46,-1.45,1,17.11,-2.67,0.57
3.05,-1.62,0,-5.01,14.5,81.93
0.19,-1.97,1,10.4,-10.45,-44.69
2.51,-2.69,1,6.01,8.0,46.98
2.87,-1.38,0,-5.61,15.83,85.37
1.25,-0.85,0,15.1,12.09,22.92
2.09,-0.87,1,-5.3,18.23,127.2
0.65,-0.65,0,19.57,4.24,0.0
2.37,-2.06,2,-3.07,12.19,132.35
2.03,-2.12,0,10.84,5.02,-5.16
3.05,-1.04,-1,-6.22,12.9,57.87
1.44,-1.2,1,9.99,15.22,71.05
2.5,-1.61,0,3.2,15.07,50.99
3.07,-1.47,-1,-1.41,11.45,34.38
1.23,-2.54,1,10.81,-2.3,-17.76
1.62,-1.74,0,13.56,5.32,-6.88
1.9,-0.42,-1,4.58,16.83,27.5
1.72,-2.34,-1,4.31,-4.14,-92.82
3.04,-2.29,1,-3.09,12.37,100.27
2.5,-1.15,-2,1.5,6.78,-37.24
1.0,-0.9,-1,15.1,1.11,-51.57
1.95,-0.14,1,-10.87,15.58,161.0
0.74,-0.83,-1,15.38,-2.12,-62.45
2.48,-1.18,0,-1.78,17.79,74.48
2.07,-0.06,0,-9.3,18.82,115.16
2.64,-2.48,0,7.68,5.6,9.17
1.23,-0.73,1,8.98,16.94,85.94
0.63,-1.35,-1,9.88,-7.41,-98.55
1.25,-3.07,1,5.26,-5.26,-46.98
1.72,-1.82,0,12.89,5.52,-5.73
0.2,-1.07,0,15.89,-9.31,-49.85
2.41,-1.05,-1,2.81,13.99,20.63
1.17,-1.16,1,13.45,12.44,57.87
1.88,-3.13,1,6.86,-1.71,-14.32
0.09,-0.98,-1,9.18,-11.46,-108.29
3.03,-2.54,-1,5.33,0.66,-29.22
0.36,-2.41,0,0.1,-9.96,-117.46
1.5,-2.98,-1,-4.39,-4.29,-142.09
0.23,-2.94,1,-0.51,-8.26,-97.98
2.71,-2.57,1,3.5,10.27,65.32
1.68,-2.43,-1,3.11,-4.7,-100.27
1.41,-0.92,1,7.86,17.18,85.37
1.79,-2.29,-1,5.12,-3.51,-85.94
2.02,-1.34,-1,9.05,8.51,-18.33
2.94,-1.93,0,0.59,13.26,57.87
1.06,-0.1,-1,14.43,11.56,-2.29
0.31,-1.2,0,15.48,-8.74,-50.99
0.14,-1.15,1,17.65,-5.02,-0.57
2.24,-0.81,1,-8.66,16.99,139.23
0.39,-2.71,1,3.44,-9.25,-75.63
2.61,-0.66,1,-15.5,11.38,169.02
2.18,-2.66,1,8.28,5.99,29.79
1.75,-0.7,1,-0.99,19.17,117.46
0.58,-0.98,-1,13.49,-5.79,-80.21
0.15,-2.23,0,0.1,-11.18,-119.18
1.05,-0.08,-1,14.44,11.64,-1.72
1.89,-1.16,1,1.91,18.23,99.12
0.86,-0.34,1,11.0,15.77,87.09
1.27,-1.09,0,15.85,9.19,10.31
2.15,-0.28,-1,-1.38,17.9,49.85
2.42,-0.14,-1,-7.81,16.64,73.34
1.66,-1.37,-1,11.39,4.41,-40.68
1.12,-0.25,0,12.08,17.0,49.85
1.91,-1.48,1,5.02,16.45,81.93
0.37,-1.96,0,6.26,-11.47,-91.1
2.27,-1.48,1,-1.1,17.16,102.56
2.4,-1.39,0,2.28,16.58,57.87
1.15,-2.32,1,12.49,-1.24,-9.74
2.14,-2.08,-1,7.34,0.66,-53.86
1.48,-1.9,0,13.42,1.26,-24.06
1.16,-3.14,-1,-6.9,-1.13,-170.74
1.02,-1.94,0,12.15,-5.17,-52.71
2.43,-0.27,-1,-6.4,16.81,66.46
0.88,-1.11,0,18.09,2.2,-13.18
2.8,-1.28,-1,-0.17,12.81,29.79
0.2,-0.53,1,18.97,3.47,38.39
2.99,-2.05,0,1.34,12.36,53.86
2.52,-2.95,-1,1.65,-5.77,-81.93
1.0,-2.97,2,8.06,-0.35,1.72
0.7,-2.16,0,6.9,-9.4,-83.65
1.39,-1.24,-1,12.8,2.67,-48.7
0.82,-0.5,0,18.06,9.52,18.33
0.51,-0.52,-1,16.83,-2.58,-57.87
0.1,-0.68,2,13.87,3.78,81.36
0.67,-0.09,1,11.28,15.18,90.53
0.21,-1.15,1,17.96,-3.77,3.44
0.03,-0.56,-1,13.32,-10.32,-87.66
0.41,-2.27,0,2.43,-10.63,-106.57
2.89,-0.66,0,-15.35,12.81,127.77
1.1,-3.13,1,3.68,-6.04,-59.01
1.62,-2.01,-2,1.02,-0.45,-136.94
1.91,-0.17,-1,1.66,18.22,42.4
2.88,-1.88,1,-5.89,14.07,114.59
0.89,-0.43,1,11.45,15.5,83.65
1.75,-0.79,1,0.11,19.1,112.3
1.24,-0.41,-1,13.9,10.6,-9.74
2.95,-1.73,-1,2.36,9.43,12.61
0.9,-0.6,-1,16.39,3.04,-40.11
1.96,-1.63,-1,9.45,4.4,-38.39
0.51,-2.53,0,0.03,-9.19,-115.74
1.26,-0.47,0,11.99,16.61,45.26
0.54,-0.78,-1,15.08,-4.69,-71.05
0.9,-2.88,1,5.47,-6.75,-56.15
0.01,-1.53,-1,1.66,-11.0,-144.39
1.45,-1.13,0,14.13,11.35,18.33
0.14,-2.81,1,0.0,-9.17,-95.68
2.09,-2.71,0,7.92,-2.06,-35.52
1.35,-1.21,-1,13.03,2.5,-49.27
3.06,-1.4,-1,-2.07,11.83,37.82
0.15,-0.39,-1,15.99,-7.24,-71.05
1.76,-0.88,1,1.01,18.94,107.72
0.79,-0.23,-1,17.19,5.71,-25.21
1.93,-0.33,0,-2.87,20.55,91.67
2.45,-1.02,1,-9.71,15.97,139.23
1.84,-1.58,0,11.67,10.35,14.9
1.47,-0.34,0,6.68,19.63,64.74
1.01,-2.31,1,12.28,-2.89,-17.19
1.59,-0.41,0,5.2,19.94,67.61
0.88,-1.04,1,16.04,9.49,48.13
1.02,-2.34,0,7.14,-7.6,-75.63
1.71,-0.21,0,0.02,20.9,85.94
1.1,-1.74,0,14.4,-2.12,-36.67
0.95,-0.17,0,14.02,15.54,44.69
2.12,-2.47,0,9.5,1.17,-20.05
1.63,-1.7,-1,9.93,0.36,-61.31
1.24,-1.95,1,14.29,4.06,16.62
2.65,-0.81,-1,-3.36,15.26,48.13
3.12,-2.87,0,6.57,3.61,14.32
2.28,-3.07,1,7.21,1.8,12.03
2.45,-0.29,1,-16.28,10.16,181.05
3.09,-1.3,-1,-3.59,12.17,45.26
2.62,-0.13,0,-17.2,11.98,142.67
0.92,-0.28,0,15.47,13.93,36.67
0.25,-2.2,-2,-0.64,0.29,-226.32
1.18,-1.45,0,16.16,2.74,-15.47
2.22,-2.69,-1,2.71,-4.56,-84.22
2.69,-2.4,0,7.12,7.06,16.62
2.1,-2.78,-1,1.15,-5.32,-96.26
2.69,-1.35,1,-9.57,14.9,134.07
0.03,-2.75,0,-5.78,-5.52,-155.84
2.84,-0.19,1,-18.97,1.98,209.13
2.78,-0.77,1,-16.46,9.73,172.46
1.74,-0.89,-1,10.36,11.11,-8.59
2.89,-2.94,-1,3.69,-4.68,-60.16
0.24,-0.29,0,20.78,0.96,-2.86
1.64,-3.12,0,0.79,-6.96,-84.8
3.13,-0.3,0,-20.33,4.37,162.15
3.05,-2.8,0,6.59,4.1,14.32
2.4,-1.89,1,1.37,15.13,86.52
0.64,-0.71,1,16.78,9.3,53.29
2.69,-2.52,-1,5.32,-0.93,-47.56
1.28,-1.72,1,14.27,7.44,32.09
1.25,-1.65,-1,9.84,-2.98,-80.21
2.77,-0.25,-1,-11.86,13.61,87.09
0.59,-1.68,0,12.29,-8.52,-62.45
1.03,-2.92,0,-0.79,-7.29,-108.29
2.24,-2.28,1,6.67,10.94,55.0
1.61,-2.98,0,2.52,-6.72,-78.5
1.79,-1.17,1,3.83,17.89,92.82
1.75,-1.75,1,9.53,12.78,57.3
0.93,-1.25,0,17.47,1.21,-18.33
2.76,-1.93,1,-3.57,14.54,104.85
1.93,-0.81,-1,7.54,13.69,6.88
0.65,-2.51,-1,-3.15,-4.42,-163.87
2.0,-0.79,1,-4.62,18.53,126.62
1.17,-2.24,-1,2.74,-5.84,-118.6
0.62,-1.61,1,16.54,-1.71,0.57
0.87,-2.31,-1,0.08,-6.11,-139.8
0.51,-2.32,-1,-2.17,-5.66,-161.0
1.55,-2.74,-1,-1.32,-5.2,-125.48
1.15,-0.73,0,15.64,12.1,24.06
1.85,-3.11,0,2.35,-6.6,-72.19
0.66,-1.94,0,9.54,-9.12,-73.34
0.99,-2.49,1,10.48,-4.49,-28.65
1.83,-0.76,0,4.93,19.05,61.31
0.36,-1.34,0,14.35,-9.16,-56.15
3.06,-0.79,1,-18.42,5.03,187.36
3.1,-2.78,-2,-1.11,-4.47,-96.26
3.11,-1.53,0,-7.13,14.22,90.53
1.22,-2.85,-1,-4.11,-3.84,-150.69
0.71,-0.71,0,19.31,4.56,0.0
1.32,-1.03,-1,13.75,4.22,-40.68
1.3,-1.39,1,13.14,11.64,52.14
2.69,-3.07,1,5.9,4.53,35.52
0.89,-2.75,1,6.98,-6.57,-49.27
1.04,-1.18,1,15.04,10.36,49.27
1.95,-1.09,1,-0.02,18.52,106.57
1.97,-0.9,0,4.0,18.73,61.31
2.27,-0.6,0,-5.89,19.29,95.68
1.37,-2.88,1,7.93,-3.54,-29.22
2.22,-2.61,-1,3.5,-3.97,-79.64
0.56,-0.23,1,14.22,12.78,76.2
1.93,-0.73,-1,6.94,14.47,11.46
0.73,-3.09,-1,-6.59,1.25,-192.51
1.42,-0.94,-1,13.34,6.67,-29.79
0.81,-1.84,1,15.43,-1.14,-1.72
0.08,-1.99,0,2.32,-12.64,-109.43
3.05,-2.68,-1,5.21,-0.95,-36.1
1.51,-2.82,-1,-2.49,-4.95,-132.35
0.15,-0.72,1,19.18,0.19,24.64
2.95,-2.52,-1,5.38,0.47,-32.66
2.18,-0.68,-1,2.63,16.08,28.65
3.07,-2.62,0,5.62,6.59,25.78
1.05,-2.06,-1,4.23,-6.19,-115.16
0.53,-1.27,1,17.97,0.62,14.9
2.97,-1.91,1,-6.76,13.48,118.03
0.28,-0.67,-1,14.46,-7.61,-79.64
1.21,-0.96,0,16.04,10.01,14.32
0.33,-2.19,-1,-2.1,-6.39,-163.87
0.54,-2.16,1,11.36,-7.46,-35.52
2.72,-3.06,-1,1.81,-6.28,-76.78
0.46,-2.44,1,7.39,-9.13,-56.15
0.84,-0.8,-1,15.68,-0.24,-55.0
0.74,-1.24,1,17.46,4.72,28.65
0.45,-0.97,0,18.45,-3.91,-29.79
2.72,-1.69,1,-5.89,15.14,116.31
1.58,-1.62,0,13.92,6.44,-2.29
0.6,-1.64,0,12.86,-8.12,-59.59
1.63,-1.16,-1,11.87,6.62,-30.37
0.03,-2.0,1,8.23,-12.01,-55.58
1.91,-0.62,1,-5.0,18.59,131.21
2.66,-0.4,1,-17.61,7.82,186.78
1.53,-0.79,-1,12.22,9.91,-14.9
1.56,-1.03,0,12.15,14.08,30.37
0.55,-0.06,0,18.32,10.25,28.07
2.21,-2.39,0,9.6,3.11,-10.31
2.09,-2.58,-1,3.27,-4.19,-85.37
2.04,-2.64,1,9.06,5.02,22.92
2.96,-2.88,1,3.39,8.0,61.88
0.14,-0.85,1,18.95,-1.58,16.62
1.35,-0.82,-1,13.81,7.2,-26.93
1.29,-1.88,1,14.18,5.62,23.49
2.57,-1.98,-1,6.35,4.89,-23.49
1.41,-0.56,-1,12.66,11.12,-8.59
3.08,-0.45,0,-19.19,7.28,150.69
2.3,-1.06,1,-6.73,17.33,128.34
1.53,-1.24,1,8.93,15.72,73.91
0.45,-1.38,1,17.47,-2.08,4.01
2.81,-0.32,-1,-11.62,13.5,85.37
0.43,-1.59,1,16.07,-4.61,-9.17
2.67,-2.61,1,4.17,9.71,60.73
0.74,-2.7,-1,-4.37,-3.02,-169.6
0.59,-0.13,-1,18.09,3.4,-30.94
2.19,-1.2,-1,6.78,11.48,-0.57
2.73,-3.09,-1,1.6,-6.51,-77.92
2.39,-0.03,1,-16.92,8.19,192.51
3.08,-2.51,-1,5.27,1.29,-24.64
2.35,-2.72,-1,3.0,-4.41,-78.5
2.1,-0.9,1,-5.12,18.23,126.05
0.54,-0.51,1,16.6,9.81,59.01
1.97,-2.4,1,9.54,7.31,32.66
0.43,-0.81,1,18.56,4.39,35.52
